start_date,deaths
05/01/2015,3054
12/01/2015,3167
19/01/2015,3088
26/01/2015,2909
02/02/2015,2869
09/02/2015,2977
16/02/2015,2684
23/02/2015,2699
02/03/2015,2447
09/03/2015,2314
16/03/2015,2284
23/03/2015,2083
30/03/2015,2179
06/04/2015,1933
13/04/2015,1937
20/04/2015,1816
27/04/2015,1819
04/05/2015,1941
11/05/2015,1911
18/05/2015,1791
25/05/2015,1950
01/06/2015,1847
08/06/2015,1799
15/06/2015,1845
22/06/2015,1727
29/06/2015,1697
06/07/2015,1805
13/07/2015,1790
20/07/2015,1751
27/07/2015,1792
03/08/2015,1811
10/08/2015,1738
17/08/2015,1787
24/08/2015,1722
31/08/2015,1803
07/09/2015,1821
14/09/2015,1699
21/09/2015,1856
28/09/2015,1914
05/10/2015,1792
12/10/2015,1809
19/10/2015,1882
26/10/2015,1883
02/11/2015,1970
09/11/2015,1854
16/11/2015,1912
23/11/2015,2040
30/11/2015,2088
07/12/2015,2002
14/12/2015,2131
11/01/2016,2332
18/01/2016,2456
25/01/2016,2332
01/02/2016,2271
08/02/2016,2351
15/02/2016,2345
22/02/2016,2296
29/02/2016,2391
07/03/2016,2380
14/03/2016,2288
21/03/2016,2271
28/03/2016,2214
04/04/2016,2225
11/04/2016,2166
18/04/2016,1989
25/04/2016,2025
02/05/2016,1954
09/05/2016,1849
16/05/2016,2045
23/05/2016,1971
30/05/2016,1983
06/06/2016,1906
13/06/2016,1799
20/06/2016,1916
27/06/2016,1893
04/07/2016,1913
11/07/2016,1934
18/07/2016,1958
25/07/2016,2054
01/08/2016,1864
08/08/2016,2091
15/08/2016,1879
22/08/2016,1914
29/08/2016,1873
05/09/2016,1864
12/09/2016,1707
19/09/2016,1835
26/09/2016,1852
03/10/2016,1856
10/10/2016,1879
17/10/2016,2026
24/10/2016,1971
31/10/2016,1939
07/11/2016,2040
14/11/2016,2127
21/11/2016,2197
28/11/2016,2388
05/12/2016,2363
12/12/2016,2526
19/12/2016,2809
09/01/2017,2967
16/01/2017,2880
23/01/2017,2995
30/01/2017,2736
06/02/2017,2453
13/02/2017,2369
20/02/2017,2237
27/02/2017,2129
06/03/2017,2149
13/03/2017,2151
20/03/2017,2074
27/03/2017,2015
03/04/2017,2071
10/04/2017,2033
17/04/2017,1825
24/04/2017,1902
01/05/2017,2011
08/05/2017,1846
15/05/2017,1833
22/05/2017,1922
29/05/2017,1815
05/06/2017,1826
12/06/2017,1969
19/06/2017,2139
26/06/2017,1784
03/07/2017,1796
10/07/2017,1806
17/07/2017,1790
24/07/2017,1799
31/07/2017,1759
07/08/2017,1739
14/08/2017,1781
21/08/2017,1960
28/08/2017,1711
04/09/2017,1783
11/09/2017,1801
18/09/2017,1793
25/09/2017,1945
02/10/2017,1983
09/10/2017,1877
16/10/2017,2004
23/10/2017,1932
30/10/2017,1918
06/11/2017,1910
13/11/2017,2161
20/11/2017,2168
27/11/2017,2193
04/12/2017,2465
11/12/2017,2455
18/12/2017,2510
08/01/2018,2803
15/01/2018,2805
22/01/2018,2693
29/01/2018,2619
05/02/2018,2783
12/02/2018,2815
19/02/2018,2777
26/02/2018,2656
05/03/2018,2387
12/03/2018,2371
19/03/2018,2234
26/03/2018,2356
02/04/2018,2354
09/04/2018,2276
16/04/2018,2197
23/04/2018,2117
30/04/2018,2012
07/05/2018,1970
14/05/2018,2066
21/05/2018,1982
28/05/2018,1883
04/06/2018,1977
11/06/2018,1928
18/06/2018,2104
25/06/2018,1936
02/07/2018,1765
09/07/2018,1771
16/07/2018,1816
23/07/2018,1824
30/07/2018,2250
06/08/2018,2199
13/08/2018,1939
20/08/2018,1960
27/08/2018,1766
03/09/2018,1837
10/09/2018,1796
17/09/2018,1867
24/09/2018,1828
01/10/2018,1890
08/10/2018,1935
15/10/2018,1943
22/10/2018,1996
29/10/2018,2043
05/11/2018,2124
12/11/2018,2093
19/11/2018,2071
26/11/2018,2132
03/12/2018,2150
10/12/2018,2129
17/12/2018,2249
07/01/2019,2884
14/01/2019,2985
21/01/2019,3021
28/01/2019,2899
04/02/2019,2779
11/02/2019,2711
18/02/2019,2546
25/02/2019,2441
04/03/2019,2329
11/03/2019,2258
18/03/2019,2199
25/03/2019,2135
01/04/2019,2097
08/04/2019,2132
15/04/2019,2096
22/04/2019,2084
29/04/2019,2081
06/05/2019,1988
13/05/2019,1931
20/05/2019,1919
27/05/2019,1948
03/06/2019,1841
10/06/2019,1873
17/06/2019,1916
24/06/2019,1919
01/07/2019,1882
08/07/2019,1898
15/07/2019,1821
22/07/2019,1841
29/07/2019,1843
05/08/2019,1838
12/08/2019,1769
19/08/2019,1938
26/08/2019,1880
02/09/2019,1933
09/09/2019,1808
16/09/2019,1899
23/09/2019,1822
30/09/2019,1901
07/10/2019,1860
14/10/2019,1909
21/10/2019,2131
28/10/2019,2134
04/11/2019,2097
11/11/2019,2148
18/11/2019,2233
25/11/2019,2241
02/12/2019,2128
09/12/2019,2290
16/12/2019,2284
06/01/2020,2654
13/01/2020,2762
20/01/2020,2662
27/01/2020,2678
03/02/2020,2475
10/02/2020,2271
17/02/2020,2356
24/02/2020,2298
02/03/2020,2172
09/03/2020,2341
16/03/2020,2422
23/03/2020,2522
30/03/2020,2604
06/04/2020,2543
13/04/2020,2333
20/04/2020,2227
27/04/2020,2124
04/05/2020,2105
11/05/2020,2042
18/05/2020,2026
25/05/2020,2290
01/06/2020,1966
08/06/2020,1816
15/06/2020,1879
22/06/2020,2082
29/06/2020,2010
06/07/2020,2176
13/07/2020,2558
20/07/2020,2426
27/07/2020,2203
03/08/2020,2070
10/08/2020,1919
17/08/2020,1990
24/08/2020,2046
31/08/2020,2001
07/09/2020,2144
